isbn,book_title,book_author,year_of_publication,publisher
0001952404,Friend Monkey,P. L Travers,1972,Collins
0001952803,God bless love: A collection of children's sayings,Nanette Newman,1972,Collins
0001953877,Collins guide to dinosaurs,David Lambert,1983,Collins
000195833X,The Earth and the Sky (Tell Me About),Pierre Averous,1982,HarperCollins Publishers
0001961721,PADDINGTON GOES TO SALES L/CUB (Collins Colour Cubs),Michael Bond,1987,HarperCollins Publishers
0001981307,The Cross Rabbit (Percy's Park),Nick Butterworth,1994,HarperCollins Publishers
0001981323,The Badger's Bath (Percy's Park),Nick Butterworth,1996,HarperCollins Publishers
0001981625,The Sea of Tranquility,Mark Haddon,1996,HarperCollins Publishers
0002000202,"Black Berry, Sweet Juice: On Being Black and White in Canada",Lawrence Hill,2001,HarperFlamingo Canada
0002000288,Farley: The Life of Farley Mowat,James King,2002,HarperFlamingo Canada
0002000369,Frederick Street: Living and Dying on Canada's Love Canal (Phyllis Bruce Books),Maude Barlow,2000,HarperCollins Publishers
0002000547,"Fatal Passage: The Untold Story of John Rae, the Arctic Adventurer Who Discovered the Fate of Franklin",Kenneth McGoogan,2001,HarperFlamingo Canada
0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
0002005050,The Romantic,Barbara Gowdy,2003,HarperFlamingo Canada
0002005395,Deafening,Frances Itani,2003,HarperFlamingo Canada
000200545X,Elegance,Kathleen Tessaro,2003,HarperCollins Publishers
0002005557,A Blade of Grass,Lewis Desoto,2003,HarperFlamingo Canada
0002006502,The Devil Is Clever: A Memoir of My Romanian Mother,Kenneth Radu,2004,HarperFlamingo Canada
0002006588,Vancouver,David Cruise,2003,HarperFlamingo Canada
0002111314,The companion guide to Tuscany,Archibald Lyall,1973,Collins
0002113570,In the shadow of man;,Jane Goodall,1971,Collins
0002114038,The Great Rebellion: Vol.1: The King's Peace 1637-1641,C. V. Wedgwood,1979,HarperCollins Publishers
0002115328,Mother Teresa: Her people and her work,Desmond Doig,1976,Collins
0002116286,There's A Seal in my Sleeping Bag,Lyn Hancock,1992,Harper Collins Canada
0002118572,Time and chance: An autobiography,Peter Townsend,1978,Collins
0002118580,Audacity to believe,Sheila Cassidy,1977,Collins
0002130289,The badger (A New naturalist monograph),Ernest G Neal,1975,Collins
000213179X,Pedigree;: Essays on the etymology of words from nature (The New naturalist; a survey of British natural history),Stephen Potter,1973,Collins
0002153572,Wild swans: Three daughters of China,Jung Chang,1991,Harper Collins
0002154064,All My Road Before Me: The Diary of C.S.Lewis 1922-27,C.S. Lewis,1990,HarperCollins Publishers
0002154390,Videotrash &amp; Treasures: A Field Guide to the Video Unknown (Video Trash &amp; Treasures),L. A. Morse,1992,Harpercollins
0002154900,Anna and the Black Knight,Fynn,1990,HarperCollins Publishers
0002154978,The Boy Who Couldn't Stop Washing: The Experience and Treatment of Obsessive-compulsive Disorder,Judith Rapoport MD,1990,HarperCollins Publishers
0002156083,Of This and Other Worlds,C. S. Lewis,1982,Harper &amp; Collins
0002156601,Perestroika : new thinking for our country and the world,Mikhail Sergeevich Gorbachev,1987,Collins
0002156970,Inside memory: Pages from a writer's workbook,Timothy Findley,1990,HarperCollinsPublishers
0002157101,Roseanne: My Life as a Woman,Roseanne Barr,1990,HarperCollins Publishers
0002157411,King Edward VIII: The official biography,Philip Ziegler,1990,Collins
0002157446,The valour and the horror: The untold story of Canadians in the Second World War,Merrily Weisbord,1991,Harper Collins
0002157853,Shifting Gears: Thriving in the New Economy,Nuala Beck,1995,HarperCollins Publishers
000215787X,Tapestry of war: A private view of Canadians in the Great War,Sandra Gwyn,1992,HarperCollinsPublishers
0002157950,Faultlines: Struggling for a Canadian vision,Jeffrey Simpson,1993,HarperCollins
0002158698,Challenge to Civilization a History Of,Martin Gilbert,0,Harpercollins Uk
000215871X,Stalin's nose: Across the face of Europe,Rory MacLean,1992,HarperCollins Publishers
0002158973,Landscape and Memory,Simon Schama,0,Harpercollins Publisher
0002159767,China Tide,Margaret Cannon,0,Harpercollins Publisher
0002160099,Living through the Blitz,Tom Harrisson,1976,Collins
0002160595,C. S. Lewis: A biography,Roger Lancelyn Green,1974,Collins
0002162857,Bedside Guardian 29,W L Webb,0,Harpercollins Publisher
0002163578,Cry of the Kalahari,Mark Owens,1985,Collins
0002163713,"Cary Grant, haunted idol",Geoffrey Wansell,1983,Collins
0002164868,Loving hands: The traditional Indian art of baby massage,Fr̩d̩rick Leboyer,1977,Collins
0002165368,Arthur C. Clarke's mysterious world,Simon Welfare,1980,Collins
0002166607,Travelling reserve,Ian Wooldridge,1982,Collins
0002166631,Arthur Bryant: Portrait of a historian,Pamela Street,1979,Collins
0002166798,Arthur C. Clarke's World of strange powers,John Fairley,1984,Collins
0002166828,Memoirs of a great Canadian detective: Incidents in the life of John Wilson Murray,John Wilson Murray,1977,Collins
0002167425,The stationary ark,Gerald Malcolm Durrell,1976,Collins
0002169290,For Goodness Sake,Merren Parker,0,Harpercollins Publisher
000217104X,Winner's Edge,Arthur Irwin,1987,Smithmark Publishing
0002172739,Bonnie Sterns Cuisinart Cookbook,Bonnie Stern,1985,Cuisinarts
0002173611,"The fatal shore: A history of the transportation of convicts to Australia, 1787-1868",Robert Hughes,1987,Collins Harvill
0002174154,Back to Cape Horn,Rosie Swale,1986,Collins
0002176084,"The diaries of Lord Louis Mountbatten, 1920-1922: Tours with the Prince of Wales",Louis Mountbatten Mountbatten of Burma,1987,Collins
0002176181,Arthur C. Clarke's chronicles of the strange and mysterious,John Fairley,1987,Collins
000217622X,STEVE MCQUEEN,Penina Spiegel,1986,HarperCollins Publishers
0002176432,The Financial post selects the 100 best companies to work for in Canada,Eva Innes,1986,Collins
0002177803,Still Dancing: My Story,Lew Grade,1992,Harpercollins
0002179687,Christmas in America: Images of the Holiday Season by 100 of America's Leading Photographers,David Cohen,1988,Collins Pub San Francisco
0002179695,A Day in the Life of the Soviet Union,Rick Smolan,1991,Harpercollins Juvenile Books
0002181924,The Illustrated Brontes of Haworth: Scenes and Characters from the Lives and Writings of the Bronte Sisters (Willow Books),Brian Wilks,1989,Smithmark Pub
0002184974,Nigel Mansell My Autobiography,Nigel Mansell,1996,Harpercollins
0002187272,Mr. Wright,Ian Wright,1997,HarperCollinsWillow
0002189569,Botham's Century: My 100 Great Cricketing Characters,Ian Botham,2001,HarperCollins UK
0002190206,Heathlands (The New naturalist library),Nigel Webb,1986,Collins
0002190915,Life on earth: A natural history,David Attenborough,1979,Collins
0002191792,Birds of East Africa (Collins Field Guides),John G. Williams,1995,Trafalgar Square
0002192152,National Parks of East Africa (Collins Field Guides),John G. Williams,1995,HarperCollins Publishers
0002195690,Richard Bell's Britain,Richard Bell,1981,Harper &amp; Collins
0002197154,The wild flowers of Britain and northern Europe,Richard Sidney Richmond Fitter,1985,Collins
0002197286,Collins Bird Guide: The Most Complete Field Guide to the Birds of Britain and Europe,L. Svensson,1998,Trafalgar Square
0002198274,The first Eden: The Mediterranean world and man,David Attenborough,1987,BBC Books
0002199009,Collins Field Guide Birds of Britain and Europe,Roger Tory Peterson,0,Harper Collins Publishers
0002199793,Collins Pocket Guide to Stars and Planets,Ian Ridpath,1994,Trafalgar Square
0002200309,Seashore (Collins New Naturalist),Peter Hayward,2004,Collins
0002200813,Lichens (New Naturalist),Oliver Gilbert,2000,Trafalgar Square
0002200821,Lichens (New Naturalist),Oliver Gilbert,2000,Trafalgar Square
000220083X,AMPHIBIANS AND REPTILES,Trevor Beebee,2000,Trafalgar Square
0002201402,British Bats (Collins New Naturalist),John D. Altringham,2003,Trafalgar Square
0002201410,Moths (New Naturalist),Michael E. N. Majerus,2002,HarperCollins UK
0002201453,Loch Lomondside,John Mitchell,2001,Trafalgar Square
0002202107,HOUSE DOCTOR,Ann Maurice,2000,Trafalgar Square
0002210436,Agent In Place,Helen Macinnes,0,Collins
0002210479,A bridge of magpies,Geoffrey Jenkins,1974,Collins
0002210843,Bear Island,Alistair MacLean,1971,Collins
0002210967,"The black moon;: A novel of Cornwall, 1794-5",Winston Graham,1973,Collins
000221122X,The candywine development,John Morris,1970,Collins
0002211483,Dragonmede,Rona Randall,1974,Collins
0002211890,The devil is loose,Graham Shelby,1973,Collins
0002212064,The Echoing Grove,Rosamond Lehmann,1984,HarperCollins Publishers
0002212080,The eagle has landed,Jack Higgins,1975,Collins
000221329X,Hugh,Jonathan Wade,1974,Collins
0002213656,Peter's pence;: A novel,Jon Cleary,1974,Collins
0002214067,King Cotton,Thomas Armstrong,1985,HarperCollins Publishers
0002215039,"My Son, My Son",Howard Spring,1980,HarperCollins Publishers
0002215470,Breakheart Pass,Alistair MacLean,1974,Collins
0002215497,The private life of Mona Lisa,Pierre La Mure,1976,Collins
0002215810,Lord of the Far Island,Victoria Holt,1975,Collins
0002215837,The enemy,Desmond Bagley,1977,Collins
0002216140,Offshore,Penelope Fitzgerald,1979,Collins
0002216485,Puppet on a chain,Alistair MacLean,1969,Collins
0002216582,The perfect carrier,Sheila Ross,1972,Collins
0002217422,The spoilers,Desmond Bagley,1969,Collins
000221766X,Sue Crowther's Marriage,Thomas Armstrong,1987,HarperCollins Publishers
000221847X,The tightrope men,Desmond Bagley,1973,Collins
0002219336,The woman destroyed;,Simone de Beauvoir,1969,Collins
0002219476,The way to dusty death,Alistair MacLean,1973,Collins
0002219697,Trigger,Antony Melville-Ross,1982,Harper &amp; Collins
0002219808,The Zhukov briefing,Antony Trew,1975,Collins
0002219980,Contract,Gerald Seymour,1980,Harper &amp; Collins
0002220032,Airscream,John Bruce,1977,Collins
0002220776,I Heard the Owl Call My Name,Margaret Craven,0,Harpercollins Publisher
0002221160,Solo,Jack Higgns,0,Collins
0002222469,The four swans: A novel of Cornwall 1795-7,Winston Graham,1976,Collins
0002222590,The Golden Gate,Alistair MacLean,1976,Collins
0002222671,The navigator,Morris L West,1976,Collins
0002222752,Goodbye California,Alistair MacLean,1977,Collins
0002223198,The weaver's apprentice,Michael Brown,1986,Collins
000222335X,Lucianos Luck,Jack Higgings,0,Collins
0002223368,Open Secret,James Leasor,1982,Harper &amp; Collins
0002223589,Bahama Crisis,Desmond Bagley,1981,Harper &amp; Collins
0002223929,Men on white horses,Pamela Haines,1978,Collins
0002224216,"The angry tide: A novel of Cornwall, 1798-9",Winston Graham,1977,Collins
0002224356,Black Camelot,Duncan Kyle,1978,Collins
0002224607,Storm warning,Jack Higgins,1976,Collins
0002224682,Seawitch,Alistair MacLean,1977,Collins
0002226162,The stranger from the sea: A novel of Cornwall 1810-1811,Winston Graham,1981,Collins
000222674X,"Miller's Dance: A Novel of Cornwall, 1812-1813",Winston Graham,1982,Harper &amp; Collins
0002227045,The phoenix tree,Jon Cleary,1984,Collins
0002227150,White Gold Wielder,Stephen R Donaldson,0,Collins
0002228394,How to Shoot an Amateur Naturalist,Gerald Durrell,1984,HarperCollins Publishers
0002228424,Kootenay Kidnapper,Eric Wilson,1984,Totem Books
0002228556,Final Decree,George Jonas,0,Harpercollins Publisher
0002229544,Cold New Dawn,Ian St James,1987,HarperCollins Publishers
0002231352,Chapter of Echoes,Aileen Armitage,1989,HarperCollins Publishers
0002231441,Family business,Anna Murdoch,1988,Collins
000223257X,The Family Mashber,Der Nister,1987,HarperCollins Publishers
0002233495,The cloning of Joanna May,Fay Weldon,1989,Collins
0002233509,Darcys Utopia,Fay Weldon,0,Harpercollins Uk
0002233711,Well of Time Uk,Tom Henighan,0,Harpercollins Publisher
0002234424,A song at twilight,Bryan Forbes,1989,Collins
0002234440,The Raven on the Water,Andrew Taylor,1991,HarperCollins Publishers
0002234491,Wall games,Michael Dobbs,1990,Collins
0002234734,The Colours of Her Day,Valerie Blumenthal,1989,Harper &amp; Collins
0002234947,Miss Hobbema Pageant,W.P. Kinsella,1990,Harpercollins Juvenile Books
0002235013,Alistair MacLean's Night Watch,Alistair MacNeill,1990,Harper &amp; Collins
0002235390,"The Way We Lived Then: The \English Story\"" in the 1940s""",Woodrow Wyatt,1989,HarperCollins Publishers
0002237458,Headhunter: A novel,Timothy Findley,1993,HarperCollins
0002237520,Box socials: A novel,W. P Kinsella,1991,HarperCollins
0002237857,The Trojan Hearse,Brian Callison,1991,Trafalgar Square
0002238861,To Play the King,Michael Dobbs,1992,Harpercollins
0002239183,Affliction,Fay Weldon,0,Harpercollins Uk
0002239213,Wicked women: A collection of short stories,Fay Weldon,1995,Flamingo
0002240009,"One good story, that one: Stories",Thomas King,1993,HarperPerennial
0002240017,"Wedding cakes, rats, and rodeo queens",Anne Cameron,1994,HarperCollins
0002240114,The Dixon Cornbelt League and other baseball stories,W. P Kinsella,1993,HarperCollins
0002241358,Cocaine nights,J. G Ballard,1996,Flamingo
0002241447,The Thief of Always: A Fable,Clive Barker,1992,Harpercollins Publisher
0002242591,Finding Moon,Tony Hillerman,0,Harpercollins Publisher
0002243016,Desperadoes,Joseph O'Connor,1994,Flamingo
0002243687,Brother Frank's gospel hour: And other stories,W. P Kinsella,1994,HarperCollins
0002243733,In the language of love: A novel in 100 chapters,Diane Schoemperlen,1994,HarperCollins Pubrs
0002243776,Visible Worlds: A Novel,Marilyn Bowering,1997,Harpercollins Canada
0002243792,The Piano Man's Daughter,Timothy Findley,1995,HarperCollins Publishers
0002243806,The winter Helen dropped by: A novel,W. P Kinsella,1995,HarperCollins Publishers
0002243865,The Garden of Eden,Sharon Butala,1998,HarperCollins Publishers
0002243954,White Bone,Barbara Gowdy,0,Harpercollins
0002243962,Girlfriend In a Coma,Douglas Coupland,0,Harper Collins Publishers
000224408X,The age of longing: A novel,Richard B Wright,1995,HarperCollins Publishers
0002244098,Dust to dust: Stories,Timothy Findley,1997,HarperCollins
0002244705,Charity,Len Deighton,1996,HarperCollinsPublishers
0002245426,Autumn maze,Jon Cleary,1994,HarperCollins
000224554X,Let Me Be the One,Elisabeth Harvor,1997,Harpercollins
0002245663,Forms of Devotion: Stories and Pictures,Diane Schoemperlen,1998,Harpercollins Canada
0002245671,Any Known Blood,Lawrence Hill,1997,Harpercollins Canada
0002245728,Freedom's Just Another Word,Dakota Hamilton,1998,HarperCollins Canada
0002250101,"Sharpe's tiger: Richard Sharpe and the Siege of Seringapatam, 1799",Bernard Cornwell,1997,HarperCollins
000225056X,The International Garlic Cookbook,Publishers Staf Collins,1995,HarperCollins
0002250780,Candles: Elements of the Table,Sara Slavin,1996,Collins Publishers
0002250810,Santa Speaks: The Wit and Wisdom of Santas Across the Nation,Michael Patrick Collins,1995,Harpercollins
0002250985,Breakfast in Bed : 90 Recipes for Creative Indulgences,Jesse Z. Cool,1997,HarperCollins
0002251000,NBA: The Official Fan's Guide,Mark Vancil,1995,Harpercollins
0002251183,Christmas Around the World (Day in the Life Series),Matthew Naythons,1996,Harpercollins
0002251213,Ronald Reagan: The Wisdom and Humor of the Great Communicator,Ronald Reagan,1995,Harpercollins
0002251485,Love Isn't Easy (Passionate Peanuts),Charles M. Schulz,1996,Perennial Currents
0002251760,The Forgetting Room: A Fiction (Byzantium Book),Nick Bantock,1997,Harpercollins
0002251892,Muhammad Ali in Perspective,Thomas Hauser,1996,Harpercollins
0002251930,Way Beyond Therapy (Peanuts at Work and Play),Charles M. Schulz,1996,Collins Publishers
0002252031,A Good Caddie is Hard to Find (Peanuts at Work and Play),Charles M. Schulz,1996,Harpercollins
0002252066,Monet: The Artist Speaks,Claude Monet,1996,HarperCollins Publishers
000225218X,'Tis the Season to Be Crabby (Festive Peanuts),Charles M. Schulz,1996,HarperEntertainment
0002252341,The British ambassador,Michael Shea,1996,HarperCollins
0002252376,Of wee sweetie mice and men,Colin Bateman,1996,HarperCollins
0002253097,Toad Triumphant,William Horwood,1995,HarperCollins
0002253178,Earthly Joys,Philippa Gregory,1998,Harpercollins
0002253186,Fourth Estate,Jeffrey Archer,0,Harpercollins Uk
0002253305,The biographer's moustache,Kingsley Amis,1995,Flamingo
0002253372,A good woman,Lisa Appignanesi,1996,HarperCollins Publishers
0002253402,Anita and me,Meera Syal,1996,Indus
0002253984,A proper holiday,Ann Oakley,1996,HarperCollins Publishers
0002254123,The Buddha of Brewer Street,Michael Dobbs,1997,HarperCollins Publishers
0002254131,Acts of Betrayal,Michael Dobbs,2000,Trafalgar Square
000225414X,Winston's War,Michael Dobbs,2002,HarperCollins
0002254182,Maid of the Mist,Colin Bateman,1999,HarperCollins
0002254271,Traces,Stephen Baxter,1998,HarperCollins
0002254301,All the Sweet Promises,Elizabeth Elgin,1996,HarperCollins Publishers
0002254697,Mourning Doves,Helen Forrester,0,Harpercollins
0002255006,The Girl Without Anyone,Kelli Deeth,2001,HarperFestival
0002255014,"Leaning, leaning over water: A novel in ten stories",Frances Itani,1998,HarperCollins
0002255081,Spadework,Timothy Findley,2001,HarperFlamingo Canada
0002255103,Our Lady of the Lost and Found,Diane Schoemperlen,2001,HarperFlamingo Canada
0002255146,Ice Lake,John Farrow,2001,HarperCollins Publishers
0002255243,The Ash Garden,Dennis Bock,2001,HarperFlamingo Canada
0002255464,"Goblins ;: &amp;, Whirlwind",Charles L Grant,1996,Voyager
0002255553,The boy in the moon,Kate O'Riordan,1997,Flamingo
0002255731,Mariana,Katherine Vaz,1997,Flamingo
0002255855,Black Ajax,George MacDonald Fraser,1997,HarperCollins Publishers
000225669X,One Thousand Chestnut Trees,Mira Stout,0,Harpercollins Publisher
000225669x,One Thousand Chestnut Trees,Mira Stout,0,Harpercollins Publisher
0002256886,Araby,Gretta Mulrooney,1998,HarperCollins Publishers
0002256967,Eleventh Commandment,Jeffrey Archer,0,Harper Collins Publishers
0002257084,Dolce Vita,Iseult Teran,1999,HarperCollins Publishers
0002257114,The Holy City,Meg Henderson,1997,Flamingo
0002257122,Thunderbolt From Navarone,Sam Llewellyn,1998,HarperCollins
0002257203,Restraint of Beasts,Magnus Mills,0,Harpercollins Uk
0002257378,Most Wanted,Jacquelyn Mitchard,0,Harpercollins
0002257580,Jesus and the Adman,Rhidian Brook,1998,Flamingo
0002258358,Prospero's Children,Jan Siegel,1999,Voyager
0002258366,Prospero's Children,Jan Siegel,1999,Voyager
0002258382,The Dragon Charmer,Jan Siegel,2000,Voyager
000225851X,Godless in Eden: A Book of Essays,Fay Weldon,1999,Flamingo
0002258560,Is Shane MacGowan Still Alive?,Tim Bradford,2000,Flamingo
0002258579,Resurrection Club,Christopher Wallace,1999,Harpercollins Uk
0002258587,The Pirate,Christopher Wallace,2001,Flamingo
000225929X,MARBLE HEART,Gretta Mulrooney,2000,Flamingo
000225946X,Swimmer,Bill Broady,2000,Flamingo
0002259478,In This Block Ther Lives a Slag and Other Yorkshire Fables,Bill Broady,2002,Flamingo
0002259834,Miss Wyoming Uk Edition,Douglas Coupland,0,Harpercollins Publisher
0002259877,"Lust, Or, No Harm Done",Geoff Ryman,2001,Flamingo
0002261022,The Glass Palace,Amitav Ghosh,2000,Trafalgar Square
0002261189,Mohammed Maguire,Colin Bateman,2001,HarperCollins
0002261200,The Coins of Judas,Scott McBain,2000,HarperCollins
0002261529,Temptation,Dermot Bolger,2000,Harpercollins
0002261804,No Bones,Anna Burns,2001,Flamingo
0002261820,One for My Baby,Tony Parsons,2001,HarperCollins Publishers
0002310694,Black as he's painted,Ngaio Marsh,1974,Collins [for] the Crime Club
0002311216,"Passenger to Frankfurt: An extravaganza,",Agatha Christie,1970,[Published for] the Crime Club [by] Collins
0002313073,His burial too,Catherine Aird,1973,Collins
0002313189,Hot pursuit,Gavin Scott,1977,Collins [for] the Crime Club
0002315394,Murder on the Orient express,Agatha Christie,1974,Collins for the Crime Club
0002316196,Curtain: Poirot's last case,Agatha Christie,1975,Collins
0002317141,Counterstroke,Andrew Garve,1978,Collins [for] the Crime Club
000231780X,The stalking lamb,Marian Babson,1974,Collins [for] the Crime Club
0002317850,Sleeping murder: Miss Marple's last case,Agatha Christie,1976,Collins [for] the Crime Club
0002322951,Murder in Good Measure,Margaret Moore,1990,HarperCollins Publishers
0002323338,Deathwater,Anne Infante,1991,Crime Club
0002323540,Fringe Ending,Margaret Moore,1991,HarperCollins Publishers
0002325780,Accident by Design,J. M. Gregson,1996,Harpercollins
000232587X,Family of Angels,Mike Ripley,1996,Collins Crime
0002326833,Silent playgrounds,Danuta Reah,2000,Collins Crime
0002431548,Dark Crusader,Alistair MaClean,1969,HarperCollins Publishers
000250653X,Jesus of Nazareth,William Barclay,1977,Collins
0002550059,In Pursuit of Ideas: A Year in the Life of the University of California,Mark MacNamara,1992,Harpercollins
0002550156,I hope,Raisa Maksimovna Gorbacheva,1991,HarperCollins Publishers
0002550555,A Day in the Life of Hollywood (Day in the Life),Bill Messing,1992,Collins Publishers
0002550563,Black &amp; White Cats,J.C. Suares,1992,HarperCollins
0002551195,A Day in the Life of Israel,David Elliot Cohen,1994,HarperCollins
0002551462,Sentimental Journeys,Joan Didion,0,Harpercollins Uk
0002551675,Coppola and Eiko on Bram Stoker's Dracula,Francis Ford Coppola,1992,Harpercollins
0002552175,Hollywood Cats,J. C. Suares,1993,Harpercollins
0002552256,Apples: A Country Garden Cookbook (Country Garden Cookbook),Christopher Idone,1993,Cookbooks
0002552272,Icons: Creativity With Camera and Computer,Douglas Kirkland,1993,Harpercollins
0002552396,My Story,Lesley Player,1993,HarperCollins
0002552574,I Dream of Madonna: Women's Dreams of the Goddess of Pop,Kay Turner,1993,Harpercollins
0002553384,The Best of Rock: The Essential Cd Guide (The Essential CD Guides),Alan Clayson,1993,Harpercollins
0002553686,Married in the Movies,Kyle Roderick,1994,Harpercollins
000255397X,Wild Stone Heart,Sharon Butala,2000,HarperFestival
0002554062,Shadow Maker: The Life of Gwendolyn Macewen,Rosemary Sullivan,1995,HarperCollins Publishers
0002554119,"Labyrinth of Desire: Women, Passion, and Romantic Obsession",Rosemary Sullivan,2001,HarperFlamingo Canada
0002554151,The Gift of Death: Confronting Canada's Tainted Blood Tragedy,Andre Picard,1995,HarperCollins Publishers
0002554232,The Red Shoes: Margaret Atwood Starting Out,Rosemary Sullivan,1998,HarperCollins Publishers
0002554259,Excelerate: Growing in the new economy,Nuala Beck,1995,HarperCollins
0002554283,Organization 2000: The Essential Guide for Companies and Teams in the New Economy,Leslie Bendaly,1996,HarperCollins Publishers
000255433X,Strategic Marketing for the Digital Age: Grow Your Business with Online and Digital Technology,Bill Bishop,1996,Harper Collins Canada
0002554429,Bank Heist: How Our Financial Giants Are Costing You Money,Walter Stewart,1997,Harper Collins Canada
000255478X,The Best of California: A Cookbook,Ann Walker,1994,HarperCollins Publishers
0002554925,The Country Dried Flower Companion (Country Companion),Stephen Woodhams,1995,Harpercollins
0002555107,Age of Kali Travels and Encounters In Indi,William Dalrymple,1998,Harpercollins Uk
0002555298,Love Lies: What Men Don't Know and Women Won't Admit,Deborah McKinlay,1994,HarperCollins Publishers
